Customer ID,Recency,Frequency,Monetary,TotalItems,FirstPurchaseDate,LastPurchaseDate,AverageOrderValue,Tenure,Churn
12346.0,235,12,77556.46,74285,2009-12-14 08:34:00,2011-01-18 10:01:00,6463.038333333334,400,1
12347.0,39,6,4114.18,2418,2010-10-31 14:20:00,2011-08-02 08:48:00,685.6966666666667,274,0
12348.0,158,4,1709.4,2497,2010-09-27 14:59:00,2011-04-05 10:47:00,427.35,189,0
12349.0,317,3,2671.14,993,2010-04-29 13:20:00,2010-10-28 08:23:00,890.38,181,0
12350.0,219,1,334.4,197,2011-02-02 16:01:00,2011-02-02 16:01:00,334.4,0,1
12351.0,284,1,300.93,261,2010-11-29 15:23:00,2010-11-29 15:23:00,300.93,0,1
12352.0,171,7,1905.61,442,2010-11-12 10:20:00,2011-03-22 16:08:00,272.22999999999996,130,0
12353.0,113,2,406.76,212,2010-10-27 12:44:00,2011-05-19 17:47:00,203.38,204,1
12354.0,141,1,1079.4,530,2011-04-21 13:11:00,2011-04-21 13:11:00,1079.4,0,1
12355.0,123,2,947.61,543,2010-05-21 11:59:00,2011-05-09 13:49:00,473.805,353,1
12356.0,155,5,6315.33,3412,2010-10-11 09:42:00,2011-04-08 12:33:00,1263.066,179,0
12357.0,297,2,12079.99,3879,2010-11-16 10:05:00,2010-11-16 14:29:00,6039.995,0,0
12358.0,60,4,3203.87,931,2009-12-08 07:59:00,2011-07-12 10:04:00,800.9675,581,0
12359.0,99,9,6059.09,2095,2009-12-05 13:32:00,2011-06-03 12:26:00,673.2322222222223,544,0
12360.0,22,7,3209.11,1968,2010-02-22 09:32:00,2011-08-19 10:10:00,458.44428571428574,543,0
12361.0,196,4,511.25,235,2010-01-26 14:37:00,2011-02-25 13:51:00,127.8125,394,1
12362.0,29,5,1877.35,989,2009-12-01 10:10:00,2011-08-11 15:02:00,375.46999999999997,618,0
12363.0,19,2,552.0,408,2011-04-11 13:29:00,2011-08-22 10:18:00,276.0,132,1
12364.0,21,1,623.92,555,2011-08-19 15:24:00,2011-08-19 15:24:00,623.92,0,0
12365.0,200,2,641.38,174,2011-02-21 13:51:00,2011-02-21 14:04:00,320.69,0,1
12366.0,543,1,500.24,296,2010-03-16 10:28:00,2010-03-16 10:28:00,500.24,0,1
12368.0,537,1,917.6999999999999,330,2010-03-21 15:56:00,2010-03-21 15:56:00,917.6999999999999,0,1
12369.0,322,3,1791.15,1241,2010-03-08 08:09:00,2010-10-22 13:13:00,597.0500000000001,228,1
12370.0,184,6,3581.03,2225,2010-02-09 09:41:00,2011-03-10 12:48:00,596.8383333333334,394,0
12371.0,318,3,2179.42,845,2010-03-04 18:23:00,2010-10-26 13:37:00,726.4733333333334,235,0
12372.0,122,2,914.9200000000001,592,2011-02-16 12:46:00,2011-05-11 10:43:00,457.46000000000004,83,0
12373.0,220,3,1127.65,516,2010-02-04 12:08:00,2011-02-01 13:10:00,375.8833333333334,362,1
12374.0,330,3,2246.29,1020,2010-04-30 14:01:00,2010-10-14 13:31:00,748.7633333333333,166,0
