CustomerID,Recency,Frequency,Monetary,TotalItems,AverageOrderValue,Tenure
12346.0,235,12,77556.46,74285,6463.038333333334,400
12347.0,39,6,4114.18,2418,685.6966666666667,274
12348.0,158,4,1709.4,2497,427.35,189
12349.0,317,3,2671.14,993,890.38,181
12350.0,219,1,334.4,197,334.4,0
12351.0,284,1,300.93,261,300.93,0
12352.0,171,7,1905.61,442,272.23,130
12353.0,113,2,406.76,212,203.38,204
12354.0,141,1,1079.4,530,1079.4,0
12355.0,123,2,947.61,543,473.805,353
12356.0,155,5,6315.33,3412,1263.066,179
12357.0,297,2,12079.99,3879,6039.995,0
12358.0,60,4,3203.87,931,800.9675,581
12359.0,99,9,6059.09,2095,673.2322222222223,544
12360.0,22,7,3209.11,1968,458.44428571428574,543
12361.0,196,4,511.25,235,127.8125,394
12362.0,29,5,1877.35,989,375.47,618
12363.0,19,2,552.0,408,276.0,132
12364.0,21,1,623.92,555,623.92,0
12365.0,200,2,641.38,174,320.69,0
12366.0,543,1,500.24,296,500.24,0
12368.0,537,1,917.7,330,917.7,0
12369.0,322,3,1791.15,1241,597.0500000000001,228
12370.0,184,6,3581.03,2225,596.8383333333334,394
12371.0,318,3,2179.42,845,726.4733333333334,235
12372.0,122,2,914.92,592,457.46,83
12373.0,220,3,1127.65,516,375.8833333333334,362
12374.0,330,3,2246.29,1020,748.7633333333333,166
12375.0,7,1,230.3,87,230.3,0
12376.0,299,2,503.15,240,251.575,28
12377.0,224,4,3426.32,2105,856.58,274
12378.0,39,2,5416.32,3316,2708.16,432
12379.0,79,3,1227.82,619,409.2733333333333,364
12380.0,95,8,7559.04,2521,944.88,476
12381.0,29,1,1268.74,568,1268.74,0
12383.0,94,5,1850.56,1532,370.112,167
12384.0,31,1,292.69,62,292.69,0
12385.0,288,1,1938.4,612,1938.4,0
12386.0,247,2,660.8,568,330.4,29
12387.0,324,1,143.94,134,143.94,0
12388.0,57,6,2788.79,1299,464.79833333333335,434
12389.0,312,3,1433.33,614,477.7766666666666,253
12391.0,374,5,2312.53,920,462.506,198
12392.0,500,1,234.75000000000003,73,234.75000000000003,0
12393.0,155,5,1877.95,1017,375.59,182
12394.0,126,1,381.08,182,381.08,0
12395.0,21,11,3948.21,3244,358.9281818181818,490
12396.0,583,1,931.43,591,931.43,0
12397.0,44,1,1214.81,704,1214.81,0
12399.0,28,7,1962.3,2198,280.3285714285714,525
12400.0,323,1,205.25,91,205.25,0
12401.0,212,1,84.3,11,84.3,0
12402.0,232,6,1256.9,584,209.48333333333332,347
12403.0,431,1,591.6600000000001,164,591.6600000000001,0
12404.0,591,1,63.24,1,63.24,0
12405.0,58,1,1710.39,857,1710.39,0
12406.0,93,4,4596.31,2391,1149.0775,513
12407.0,43,4,1407.36,1237,351.84000000000003,130
12408.0,8,7,3586.27,1864,512.3242857142857,399
12409.0,92,5,18553.7,10734,3710.74,382
12410.0,218,3,1013.71,341,337.90333333333336,193
12411.0,319,1,346.9,138,346.9,0
12412.0,47,5,2260.79,1767,452.158,401
12413.0,145,3,805.25,238,268.4166666666667,166
12414.0,126,6,952.41,495,158.735,246
12415.0,8,22,121631.72,80774,5528.714545454545,428
12416.0,566,1,202.56,132,202.56,0
12417.0,16,18,5984.33,2567,332.4627777777778,626
12418.0,22,4,2021.2,1088,505.3,517
12419.0,295,2,503.01,231,251.505,27
12421.0,24,5,920.12,575,184.024,390
12422.0,5,17,5231.8,2596,307.7529411764706,625
12423.0,10,9,2413.75,1590,268.19444444444446,364
12424.0,72,4,3340.03,2025,835.0075,385
12425.0,357,1,964.21,651,964.21,0
12426.0,104,2,1345.21,584,672.605,468
12427.0,281,1,607.0,158,607.0,0
12428.0,29,8,7548.12,3386,943.515,163
12429.0,82,7,6580.39,2832,940.0557142857144,373
12431.0,28,23,9245.09,3919,401.96043478260873,574
12432.0,79,3,4016.66,1427,1338.8866666666663,1
12433.0,0,6,13600.62,11476,2266.77,385
12434.0,169,2,583.54,215,291.77,120
12435.0,177,5,10075.03,3782,2015.006,469
12436.0,9,1,509.01,211,509.01,0
12437.0,7,32,10543.4,6875,329.48125,638
12438.0,49,1,890.0699999999999,586,890.0699999999999,0
12439.0,592,2,1158.18,484,579.09,43
12440.0,371,2,859.2,331,429.6,255
12441.0,276,1,347.1,242,347.1,0
12443.0,641,1,485.31,182,485.31,0
12444.0,31,2,2627.27,650,1313.635,49
12445.0,330,1,301.58000000000004,144,301.58000000000004,0
12447.0,152,1,476.49,190,476.49,0
12449.0,1,5,3493.18,1758,698.636,346
12450.0,65,5,688.2,442,137.64,318
12451.0,127,5,8942.18,6889,1788.436,311
12453.0,43,1,707.09,473,707.09,0
12454.0,305,4,13151.44,6697,3287.86,25
12455.0,37,9,5589.45,2979,621.05,593
12456.0,40,2,2265.4,1073,1132.7,123
12457.0,143,4,1699.93,648,424.9825,201
12458.0,194,3,1272.01,750,424.0033333333333,203
12459.0,514,1,454.36,258,454.36,0
12460.0,365,1,326.65,170,326.65,0
12461.0,3,2,826.88,287,413.44,60
12462.0,212,1,762.11,287,762.11,0
12463.0,84,3,985.79,577,328.59666666666664,66
12464.0,15,6,780.55,81,130.09166666666667,203
12465.0,78,1,440.94,294,440.94,0
12466.0,591,1,56.73,1,56.73,0
12467.0,332,1,132.8,129,132.8,0
12468.0,97,5,3670.74,2201,734.1479999999999,495
12469.0,432,2,3070.54,2552,1535.27,14
12470.0,599,1,211.95,95,211.95,0
12471.0,16,68,31256.14,13022,459.6491176470588,625
12472.0,48,17,16236.08,10290,955.0635294117646,587
12473.0,24,2,1186.25,878,593.125,77
12474.0,8,26,9410.72,5905,361.9507692307692,568
12475.0,319,1,426.26,236,426.26,0
12476.0,50,18,10490.66,4369,582.8144444444445,360
12477.0,10,6,15890.66,4984,2648.443333333333,522
12480.0,52,6,4328.17,2341,721.3616666666667,364
12481.0,89,13,10866.83,6310,835.91,427
12482.0,485,29,23691.4,27042,816.944827586207,77
12483.0,8,17,4259.66,1854,250.56823529411764,578
12484.0,10,10,5491.58,2939,549.158,580
12485.0,438,1,708.1,414,708.1,0
12486.0,341,1,1037.28,523,1037.28,0
12487.0,640,1,285.29999999999995,174,285.29999999999995,0
12489.0,245,1,334.93,105,334.93,0
12490.0,2,17,7958.3,4852,468.1352941176471,645
12492.0,14,2,578.39,321,289.195,297
12493.0,75,2,433.74,207,216.87,31
12494.0,71,7,1495.63,645,213.6614285714286,414
12495.0,550,1,357.4,130,357.4,0
12496.0,529,2,54.09,33,27.045,0
12497.0,310,2,5205.400000000001,4449,2602.7000000000003,244
12499.0,469,1,393.72,302,393.72,0
12500.0,16,14,3471.23,1969,247.945,566
12501.0,246,1,2169.39,1783,2169.39,0
12502.0,5,5,3723.87,820,744.774,214
12503.0,493,1,1126.0,561,1126.0,0
12504.0,326,2,297.0,368,148.5,179
12505.0,318,1,955.2,324,955.2,0
12506.0,142,1,73.5,23,73.5,0
12507.0,43,4,1844.06,1256,461.015,450
12509.0,193,1,176.5,55,176.5,0
12510.0,52,9,5178.02,2049,575.3355555555556,592
12511.0,338,1,3084.02,1753,3084.02,0
12513.0,22,1,612.29,462,612.29,0
12514.0,176,2,1597.76,840,798.88,374
12515.0,262,1,383.7,131,383.7,0
12516.0,90,3,1919.76,1422,639.92,418
12517.0,35,2,1538.7,841,769.35,63
12518.0,19,1,324.83,187,324.83,0
12519.0,386,1,385.7,212,385.7,0
12520.0,51,4,2045.85,1099,511.4625,131
12521.0,52,1,599.68,309,599.68,0
12523.0,17,19,3600.13,1970,189.4805263157895,624
12524.0,71,15,9762.87,5769,650.858,507
12525.0,407,3,973.73,509,324.57666666666665,149
12526.0,3,1,520.3,318,520.3,0
12527.0,204,4,671.72,513,167.93,234
12528.0,24,4,1287.37,503,321.8425,198
12529.0,437,1,316.48,192,316.48,0
12530.0,33,8,3318.63,2400,414.82875,518
12531.0,595,1,1807.98,1074,1807.98,0
12533.0,537,2,1367.89,704,683.945,110
12534.0,40,1,1089.18,651,1089.18,0
12535.0,1,2,716.35,219,358.175,94
12537.0,318,1,732.94,449,732.94,0
12538.0,287,1,276.5,145,276.5,0
12539.0,171,6,10164.09,4089,1694.015,454
12540.0,1,27,18101.11,8767,670.4114814814815,639
12541.0,82,2,536.14,419,268.07,107
12542.0,393,2,481.88,522,240.94,156
12543.0,357,1,980.25,688,980.25,0
12545.0,169,1,628.15,346,628.15,0
12547.0,107,3,383.58,309,127.86,302
12548.0,75,1,95.2,49,95.2,0
12549.0,485,6,1575.68,1366,262.61333333333334,121
12551.0,267,1,168.0,100,168.0,0
12553.0,19,9,3336.06,1711,370.67333333333335,313
12554.0,358,1,468.5,240,468.5,0
12555.0,591,1,129.23,1,129.23,0
12556.0,60,1,312.9,166,312.9,0
12557.0,67,7,15726.14,5862,2246.5914285714284,564
12559.0,220,2,561.71,283,280.855,8
12560.0,21,2,1436.31,820,718.155,30
12561.0,212,1,238.85,177,238.85,0
12562.0,36,5,2790.41,1324,558.082,308
12563.0,318,1,249.24,113,249.24,0
12564.0,170,1,456.9,133,456.9,0
12565.0,198,1,145.92,80,145.92,0
12567.0,5,14,12158.56,5314,868.4685714285714,570
12568.0,554,1,70.0,48,70.0,0
12569.0,1,15,2167.68,857,144.512,160
12570.0,591,1,77.52,1,77.52,0
12571.0,31,1,248.35,197,248.35,0
12573.0,136,5,717.41,479,143.482,237
12574.0,225,1,218.45,61,218.45,0
12575.0,366,2,622.8199999999999,315,311.41,69
12576.0,5,7,1763.44,1192,251.92,430
12577.0,268,6,1191.84,859,198.64,376
12578.0,239,3,3456.6,1932,1152.2,113
12580.0,156,2,1052.9,569,526.45,329
12582.0,148,4,1980.4,985,495.1,338
12583.0,16,21,11398.27,7387,542.7747619047619,627
12584.0,36,4,782.59,138,195.6475,153
12585.0,143,2,2040.1,1279,1020.05,117
12586.0,284,3,1865.73,608,621.91,348
12588.0,308,3,743.88,385,247.96,198
12589.0,54,7,4180.48,1541,597.2114285714285,544
12590.0,120,2,9864.26,4283,4932.13,0
12591.0,226,3,1352.15,677,450.7166666666667,91
12592.0,1,5,2582.66,1875,516.5319999999999,427
12593.0,18,3,418.1,206,139.36666666666665,110
12594.0,30,13,4281.79,2431,329.3684615384616,525
12595.0,414,1,299.02,271,299.02,0
12596.0,151,1,269.95,156,269.95,0
12597.0,92,2,1428.81,675,714.405,85
12598.0,71,7,3095.39,1913,442.1985714285714,487
12599.0,36,12,2121.18,1982,176.765,451
12600.0,22,19,4381.4400000000005,1184,230.6021052631579,619
12601.0,99,6,681.26,290,113.54333333333334,214
12604.0,171,1,178.5,137,178.5,0
12605.0,285,4,1232.95,929,308.2375,81
12606.0,591,1,21.0,1,21.0,0
12608.0,314,1,415.79,323,415.79,0
12609.0,95,8,3109.74,1423,388.7175,533
12610.0,15,2,1256.25,625,628.125,19
12613.0,107,9,4953.21,3278,550.3566666666667,527
12614.0,187,1,315.6,76,315.6,0
12615.0,77,5,4084.53,2354,816.9060000000001,462
12616.0,4,3,1131.1,498,377.0333333333333,293
12619.0,25,6,2227.6,1896,371.26666666666665,444
12620.0,114,1,561.66,434,561.66,0
12621.0,9,30,21281.18,11932,709.3726666666666,568
12622.0,141,1,180.1,69,180.1,0
12623.0,185,7,3747.84,1971,535.4057142857143,420
12624.0,15,2,641.13,355,320.565,71
12625.0,121,4,5164.88,3309,1291.22,384
12626.0,22,6,4774.0,2337,795.6666666666666,214
12627.0,5,5,2727.83,1575,545.566,44
12629.0,295,2,1558.22,722,779.11,37
12631.0,365,5,2841.07,1371,568.214,237
12632.0,430,2,804.88,694,402.44,44
12633.0,39,6,5462.93,3144,910.4883333333332,395
12634.0,445,2,490.0,337,245.0,12
12635.0,64,3,1924.87,1176,641.6233333333333,301
12636.0,648,1,141.0,1,141.0,0
12637.0,1,11,7981.91,4126,725.6281818181818,451
12638.0,549,1,249.8,86,249.8,0
12639.0,148,3,1312.37,631,437.45666666666665,389
12641.0,24,1,185.9,72,185.9,0
12642.0,17,1,366.45,277,366.45,0
12643.0,37,12,8350.42,4785,695.8683333333333,482
12644.0,39,4,1918.49,1032,479.6225,564
12645.0,19,7,3074.98,1866,439.2828571428572,559
12647.0,35,33,17088.24,6486,517.8254545454546,568
12648.0,64,4,1112.0,518,278.0,546
12649.0,16,8,2294.65,1959,286.83125,588
12651.0,244,4,377.75,265,94.4375,130
12652.0,240,2,1017.03,536,508.515,102
12653.0,58,3,4160.83,1681,1386.9433333333334,378
12654.0,107,3,337.75,151,112.58333333333331,97
12655.0,333,1,261.35,80,261.35,0
12656.0,25,6,5177.33,2417,862.8883333333333,446
12661.0,345,1,162.0,216,162.0,0
12662.0,16,16,5791.900000000001,2923,361.99375,510
12663.0,534,2,239.4,181,119.7,43
12664.0,53,5,3145.64,797,629.1279999999999,583
12665.0,234,3,313.6,165,104.53333333333336,344
12666.0,303,1,1248.42,370,1248.42,0
12668.0,168,9,10562.0,4776,1173.5555555555557,417
12669.0,60,3,2744.03,1115,914.6766666666666,105
12670.0,8,5,2398.71,991,479.742,567
12671.0,515,1,2622.481,1460,2622.481,0
12672.0,239,2,437.05,138,218.525,265
12673.0,236,2,840.4,520,420.2,75
12674.0,1,3,1402.0,787,467.3333333333333,116
12675.0,463,2,958.5,337,479.25,24
12676.0,33,9,2509.75,1691,278.8611111111111,359
12677.0,464,2,395.1,176,197.55,111
12678.0,10,18,24934.98,16644,1385.2766666666666,600
12679.0,115,2,906.38,407,453.19,77
12680.0,22,1,311.78,230,311.78,0
12681.0,61,38,26947.32,15479,709.14,574
12682.0,10,41,19965.61,8974,486.9660975609757,638
12683.0,2,18,10842.4,6676,602.3555555555555,633
12684.0,80,4,1379.48,1274,344.87,42
12685.0,2,2,1606.42,917,803.21,1
12686.0,281,1,178.28,214,178.28,0
12687.0,390,2,2138.91,1403,1069.455,0
12688.0,23,1,4873.81,3028,4873.81,0
12689.0,37,1,511.03,281,511.03,0
12690.0,115,1,389.01,106,389.01,0
12691.0,54,5,690.9,249,138.18,275
12692.0,546,1,110.95,36,110.95,0
12693.0,36,7,1703.02,536,243.28857142857143,395
12694.0,92,2,1413.18,1169,706.59,237
12695.0,16,5,1158.92,406,231.784,557
12696.0,344,2,851.91,564,425.955,74
12697.0,40,2,733.91,359,366.955,37
12698.0,499,1,339.75,111,339.75,0
12699.0,327,1,638.11,373,638.11,0
12700.0,65,2,2149.05,1376,1074.525,58
12701.0,151,5,1985.78,1295,397.156,390
12703.0,542,3,722.98,431,240.9933333333333,51
12704.0,15,3,1100.92,465,366.97333333333336,63
12705.0,67,9,9056.33,5790,1006.2588888888888,375
12707.0,201,1,603.42,256,603.42,0
12708.0,11,15,4632.96,2203,308.864,619
12709.0,5,30,28587.61,12902,952.9203333333334,634
12710.0,6,3,1149.02,851,383.00666666666666,104
12711.0,521,2,1339.05,770,669.525,65
12712.0,16,19,6710.610000000001,2230,353.19000000000005,623
12714.0,16,11,12774.55,7963,1161.3227272727272,628
12715.0,15,1,353.86,197,353.86,0
12716.0,42,1,677.9,503,677.9,0
12717.0,60,3,1308.91,600,436.3033333333333,439
12720.0,3,22,6168.78,4729,280.3990909090909,412
12721.0,92,6,3055.86,1829,509.31,288
12722.0,24,3,929.65,559,309.8833333333333,35
12724.0,82,5,1566.47,1112,313.294,361
12725.0,280,4,2694.56,1306,673.64,213
12726.0,94,9,2872.82,3417,319.20222222222225,439
12727.0,4,9,5036.53,2490,559.6144444444444,559
12728.0,166,4,851.15,380,212.7875,126
12729.0,23,1,453.01,233,453.01,0
12730.0,431,1,829.25,234,829.25,0
12731.0,53,13,18204.05,8643,1400.3115384615385,503
12732.0,89,1,236.26,111,236.26,0
12733.0,143,4,2424.87,896,606.2175,455
12734.0,262,3,639.65,265,213.21666666666667,39
12735.0,224,2,779.5699999999999,368,389.785,21
12736.0,242,1,234.0,173,234.0,0
12737.0,408,2,3710.5,2,1855.25,0
12738.0,281,1,310.7,296,310.7,0
12739.0,8,3,2689.23,950,896.41,295
12741.0,438,2,406.07,214,203.035,3
12742.0,535,1,1201.52,1359,1201.52,0
12743.0,43,2,546.43,319,273.215,0
12744.0,54,9,18249.74,6393,2027.748888888889,446
12745.0,396,3,925.41,468,308.47,195
12746.0,450,1,254.55,97,254.55,0
12747.0,19,23,7849.93,2345,341.3013043478261,622
12748.0,0,259,36987.41,22625,142.80853281853285,643
12749.0,40,7,5561.71,1969,794.53,390
12750.0,38,1,275.88,137,275.88,0
12751.0,354,1,268.27,189,268.27,0
12753.0,45,5,16620.91,9211,3324.182,226
12754.0,145,3,3010.74,6481,1003.58,72
12755.0,190,11,9030.66,3781,820.9690909090909,413
12757.0,52,7,5281.08,918,754.4399999999999,68
12758.0,26,7,9903.24,6155,1414.7485714285715,621
12759.0,81,7,4571.82,2930,653.1171428571428,563
